商品标题,价格（元）,单位,产地,供应商,茬数,高度,成交金额,标签
普通二茬 30~40公分,3.00,元/斤,佛山,王景雷的店,二茬,30~40公分,0,无标签
盆景 头茬 20~30cm,52.00,元/箱,南宫市,赵付强的店,头茬,20~30cm,0,无标签
盆景 头茬 20~30cm,40.00,元/箱,南宫市,关继萌,头茬,20~30cm,0,无标签
水洗（泥黄）年40万斤,240.00,元/箱,清镇市,清镇农业基地,未知茬数,未知高度,0,无标签
普通头茬 40~50cm,7.00,元/斤,丰县,滕井超的店,头茬,40~50cm,0,无标签
九黄精品韭黄四季供应量大,3.50,元/斤,云浮,汪双轮,未知茬数,未知高度,0,无标签
黄金韭 头茬 40~50cm,9.80,元/斤,丰县,孙建雷的店,头茬,40~50cm,0,无标签
黄金韭 头茬 50~60cm,5.50,元/斤,普定县,杨艳,头茬,50~60cm,0,无标签
791冬韭  根粗叶大不超高。,2.00,元/斤,滦南县,永杰四季蔬菜批发,未知茬数,未知高度,0,无标签
武威民勤传统盖草,5.00,元/斤,民勤县,李长坤的店,未知茬数,未知高度,0,无标签
黄韭 头茬 20~30cm,40.00,元/箱,南宫市,关继萌,头茬,20~30cm,0,无标签
汉中头茬 30~40公分,2.80,元/斤,北镇市,陈旭光的店,头茬,30~40公分,0,无标签
盆景 黄韭盆景即是看，收割以后又是包饺子的好青菜,60.00,元/箱,南宫市,白玉强,未知茬数,未知高度,0,无标签
查无信息,600.00,元/吨,弥勒市,小李韭黄销售中心,未知茬数,未知高度,0,无标签
白旗头茬 40~50cm,6.00,元/斤,普定县,杨海林的店,头茬,40~50cm,0,无标签
弥勒头茬 40~50cm,6.00,元/斤,弥勒市,马超的店,头茬,40~50cm,0,无标签
黄韭 三茬 30~35cm,8.00,元/斤,四会市,李海锋的店,三茬,未知高度,0,无标签
查无信息,5.00,元/斤,施甸县,云龙果蔬业,未知茬数,未知高度,0,无标签
黄韭 头茬 20~30cm,40.00,元/箱,南宫市,关继萌的店,头茬,20~30cm,0,无标签
查无信息,2.60,元/斤,六盘水,周华的店,未知茬数,未知高度,0,无标签
精品，新鲜黄爽，翠嫩青香，价格实惠,3.00,元/斤,佛山,文成林的店,未知茬数,未知高度,0,无标签
盆景 三茬 20~30cm,205.00,元/箱,弥勒市,黄建东的店,三茬,20~30cm,0,无标签
精品大量上市,4.00,元/斤,常熟市,孙健的店,未知茬数,未知高度,0,无标签
黄金韭 头茬 50~60cm,5.50,元/斤,普定县,杨艳的店,头茬,50~60cm,0,无标签
盆景 黄韭盆景即是看，收割以后又是包饺子的好青菜,60.00,元/箱,南宫市,白玉强的店,未知茬数,未知高度,0,无标签
黄金韭  二茬 40~50cm 能供应五十天左右,1.60,元/斤,萧县,鲁传化的店,二茬,40~50cm,0,无标签
大棚,4.00,元/斤,衡阳县,彭云发的店,未知茬数,未知高度,0,无标签
查无信息,5.00,元/斤,,惠佳生鲜购销中心,未知茬数,未知高度,0,无标签
深州黄韭,16.00,元/斤,深州市,张少朋的店,未知茬数,未知高度,0,无标签
黄韭 头茬 20~30cm,95.00,元/箱,南宫市,张济学的店,头茬,20~30cm,0,无标签
盆景 头茬 40~50cm,58.00,元/箱,南宫市,贾会莲的店,头茬,40~50cm,0,无标签
黄韭盆景,60.00,元/箱,南宫市,乡村农货行,未知茬数,未知高度,0,无标签
精品,11.50,元/斤,佛山,黄伟平的农货店,未知茬数,未知高度,0,无标签
头茬 30~40公分,2.50,元/斤,佛山,伍云飞的农货店,头茬,30~40公分,0,无标签
精品散装欢迎订购  长期供货,7.00,元/斤,如皋市,李波的店,未知茬数,未知高度,0,无标签
头茬 30~40公分,8.50,元/斤,全州县,文京城的店,头茬,30~40公分,0,无标签
B01！产地直发优质韭黄韭菜,5.00,元/斤,佛山,老宾种植场,未知茬数,未知高度,0,无标签
一年四季供货充足，本人是韭黄批发商，发货全国各地,5.00,元/斤,佛山,文成林的店,未知茬数,未知高度,0,无标签
精品,7.00,元/斤,佛山,文成林的店,未知茬数,未知高度,0,无标签
云南营养蔬菜～新鲜黄韭菜 产地直发 饺子馅食材,7.00,元/斤,弥勒市,李翠的店,未知茬数,未知高度,0,无标签
查无信息,4.00,元/斤,广州,唐苏城的店,未知茬数,未知高度,0,无标签
黄金韭 头茬 40~50cm,7.00,元/斤,丰县,滕井超的店,头茬,40~50cm,0,无标签
深州头茬黄韭，馨香扑鼻，鲜嫩色美，大量有货，一手货源,15.00,元/斤,深州市,希望之光,头茬,未知高度,0,无标签
韭菜中的天花板,1.00,元/斤,寿光市,海良蔬菜供应链,未知茬数,未知高度,0,无标签
,6.00,元/斤,弥勒市,陈志伟的农货店,未知茬数,未知高度,0,无标签
头茬 30~40公分,10.00,元/斤,临洮县,潘海军的店,头茬,30~40公分,0,无标签
大叶甘肃榆中优质韭黄,5.00,元/斤,西平县,郑超超的店,未知茬数,未知高度,0,无标签
专业批发,260.00,元/箱,佛山,全火养的店,未知茬数,未知高度,0,无标签
深州黄韭欢迎订购,12.00,元/斤,深州市,张根水的店,未知茬数,未知高度,0,无标签
,4.00,元/斤,广州,汪双轮的店,未知茬数,未知高度,0,无标签
精品,3.00,元/斤,太仓市,李选的店,未知茬数,未知高度,0,无标签
盆景  精品礼盒装！(带精美包装礼盒）2020最火黄韭盆景韭菜根，,75.00,元/箱,南宫市,关海英的店,未知茬数,未知高度,0,无标签
云南二茬 40~50cm,6.00,元/斤,普定县,华兴广的店,二茬,40~50cm,0,无标签
黄金韭 二茬 50~60cm,190.00,元/箱,弥勒市,赵玺的店,二茬,50~60cm,0,无标签
精品短,10.00,元/斤,太仓市,金海威的店,未知茬数,未知高度,0,无标签
精品大量上市  长期供应  有需要的联系我,7.00,元/斤,如皋市,李波的店,未知茬数,未知高度,0,无标签
黄韭芽 头茬 30~40公分,12.00,元/斤,深州市,薛丹的店,头茬,30~40公分,0,无标签
富韭 头茬 30~40公分,0.50,元/斤,盘山县,赵长春的店,头茬,30~40公分,0,无标签
生产基地  有需要的联系我,2.00,元/斤,普定县,黄华敏的店,未知茬数,未知高度,0,无标签
查无信息,5.00,元/斤,许昌,黄俊朋的店,未知茬数,未知高度,0,无标签
二茬 30~40公分,210.00,元/箱,弥勒市,张海的店,二茬,30~40公分,0,无标签
黄韭 头茬 20~30cm,50.00,元/箱,南宫市,邢毅烁的店,头茬,20~30cm,0,无标签
黄金韭 长年供应头茬3O至45公分，,5.00,元/斤,普定县,薛茗木的店,头茬,未知高度,0,无标签
基地只发精品,150.00,元/箱,弥勒市,张海的店,未知茬数,未知高度,0,无标签
白旗30~40公分 头茬,3.00,元/斤,普定县,黄亮的店,头茬,30~40公分,0,无标签
云南弥勒,265.00,元/箱,弥勒市,黄建东的店,未知茬数,未知高度,0,无标签
查无信息,5.50,元/斤,广州,宏富韭花韭黄批发店,未知茬数,未知高度,0,无标签
原产地，大量优质货源,5.00,元/斤,佛山,阿美韭黄小店,未知茬数,未知高度,0,无标签
自家种植的贵州大量上市自产自销无中间商赚差价。,200.00,元/箱,贵阳,李选的店,未知茬数,未知高度,0,无标签
盆景 头茬 20~30cm,50.00,元/箱,南宫市,侯宏栋的店,头茬,20~30cm,0,无标签
南宫黄韭地方特产黄韭小青芽韭现货销售,15.00,元/斤,南宫市,刘晓燕的农货店,未知茬数,未知高度,0,无标签
70分左右，亩数出售。泸西县白水镇小孟泽,12000.00,元/吨,泸西县,张星星的农货店,未知茬数,未知高度,0,无标签
黄韭 二茬 35~40cm,2.80,元/斤,佛山,黄剑英的店,二茬,未知高度,0,无标签
贵州大量供应 自产自销 保质保量,3.50,元/斤,太仓市,李选的店,未知茬数,未知高度,0,无标签
基地直发，自家种植，货粗,8.00,元/斤,绍兴,唐子葵的店,未知茬数,未知高度,0,无标签
云南头茬 40~50cm,5.50,元/斤,弥勒市,陈志猛的店,头茬,40~50cm,0,无标签
查无信息,4.50,元/斤,成都,世纪蔬菜,未知茬数,未知高度,0,无标签
精品！长期合作！货美价廉！欢迎订购！,3.50,元/斤,如皋市,李东的店,未知茬数,未知高度,0,无标签
广东佛山市南海区中南市场精品,4.80,元/斤,佛山,黄伟平的农货店,未知茬数,未知高度,0,无标签
，,3.00,元/斤,中山市,蒋洪的店,未知茬数,未知高度,0,无标签
广东佛山市南海区中市场2022年2月22号精品,10.80,元/斤,佛山,黄伟平的农货店,未知茬数,未知高度,0,无标签
大叶韭黄,13.00,元/斤,中山市,周湘的店,未知茬数,未知高度,0,无标签
盆景  黄韭盆景，绿色、无公害食品,55.00,元/箱,衡水,秀会韭黄盆景,未知茬数,未知高度,0,无标签
河南平丰韭之皇，两年根，2800－3000元/吨,2650.00,元/吨,平南县,蒙武佳的店,未知茬数,未知高度,0,无标签
弥勒,220.00,元/箱,弥勒市,张海的店,未知茬数,未知高度,0,无标签
一号 30~40公分 二茬,3.50,元/斤,佛山,文玲的店,二茬,30~40公分,0,无标签
盆景  锥筒种韭黄，成本节省一半，韭黄香气浓郁，色泽金黄，口感脆嫩,2.10,元/箱,雷山县,周建华的店,未知茬数,未知高度,0,无标签
黄金韭 头茬 40~50cm,5.00,元/斤,安顺,李明国的店,头茬,40~50cm,0,无标签
白旗头茬 30~40公分,7.00,元/斤,镇宁县,华兴广的店,头茬,30~40公分,0,无标签
普通二茬 30~40公分,4.50,元/斤,肇庆,刘许贵的店,二茬,30~40公分,0,无标签
精品大叶,6.20,元/斤,佛山,文成林的店,未知茬数,未知高度,0,无标签
头茬 30~40公分,4.50,元/斤,中山市,蒋洪的店,头茬,30~40公分,0,无标签
黄韭 头茬 20cm以下,15.00,元/斤,南宫市,王宁的店,头茬,未知高度,0,无标签
九号 30~40公分 二茬,3.50,元/斤,佛山,文玲的店,二茬,30~40公分,0,无标签
，量大,5.00,元/斤,成都,郫县韭黄蔬菜专业户,未知茬数,未知高度,0,无标签
大甩卖，给钱就卖,1.00,元/斤,太仓市,毕光乐的店,未知茬数,未知高度,0,无标签
四川精品,16.00,元/斤,成都,李雪松的店,未知茬数,未知高度,0,无标签
广东黄金大叶,4.00,元/斤,佛山,蒋建平的店,未知茬数,未知高度,0,无标签
专业种植产品,4.50,元/斤,淮安,刘平农产品韭黄种植大户,未知茬数,未知高度,0,无标签
基地直供，贵州安顺白旗,6.00,元/斤,普定县,王尚建的店,未知茬数,未知高度,0,无标签
一号 二茬 30~40公分,6.20,元/斤,佛山,文成林的店,二茬,30~40公分,0,无标签
黄韭  20cm以下 头茬 无公害黄韭盆景,88.00,元/箱,北京,邢金强的店,头茬,未知高度,0,无标签
深州黄韭美味艳丽,10.00,元/斤,深州市,张根水的店,未知茬数,未知高度,0,无标签
"详情

河北省 深州市种植黄韭500多年的历史 黄韭馨香扑鼻",7.50,元/斤,衡水,张建飞的店,未知茬数,未知高度,0,无标签
精品，干活，水货大量批发,4.00,元/斤,弥勒市,韭黄直营产地,未知茬数,未知高度,0,无标签
云南弥勒,5.00,元/斤,弥勒市,黄建东的店,未知茬数,未知高度,0,无标签
云南弥勒,190.00,元/箱,弥勒市,黄建东的店,未知茬数,未知高度,0,无标签
云南40~50cm 二茬,6.00,元/斤,弥勒市,马云东的店,二茬,40~50cm,0,无标签
盆景 二茬 30~40公分,4.80,元/斤,佛山,文玲的店,二茬,30~40公分,0,无标签
泥巴，韭黄，合作社项目韭黄,2.00,元/斤,织金县,冯钟的店,未知茬数,未知高度,0,无标签
精品贵州，保质保量，货源充足。,4.00,元/斤,太仓市,李选的店,未知茬数,未知高度,0,无标签
盆景 头茬 20~30cm,35.00,元/箱,济南,栾丛丛的店,头茬,20~30cm,0,无标签
盆景 头茬 20~30cm,70.00,元/箱,石家庄,李英的店,头茬,20~30cm,0,无标签
白旗30~40公分 头茬,5.50,元/斤,普定县,严姣姣的店,头茬,30~40公分,0,无标签
黄金韭色泽鲜亮.金黄，品质好！价格不高！欢迎需要货的朋友们抓,7.00,元/斤,丰县,滕井超的店,未知茬数,未知高度,0,无标签
云南三茬 60~70cm,7.00,元/斤,杭州,李雪松的店,三茬,60~70cm,0,无标签
,180.00,元/箱,弥勒市,刘仁华的农货店,未知茬数,未知高度,0,无标签
查无信息,5.00,元/斤,深州市,张根水的店,未知茬数,未知高度,0,无标签
长60到70公分颜色好硬的好耐运输口感脆内,5.50,元/斤,弥渡县,吴永能的店,未知茬数,未知高度,0,无标签
普通河北邢台巨鹿韭黄,4.50,元/斤,临城县,徐晓鹏的店,未知茬数,未知高度,0,无标签
精品，互惠互利。,330.00,元/箱,深圳,潘帅的店,未知茬数,未知高度,0,无标签
广东精品,6.00,元/斤,佛山,汪双轮的店,未知茬数,未知高度,0,无标签
安顺普定县韭菜，基地直供。长度按需切。有冰袋泡沫箱提供。,5.30,元/斤,普定县,黄婧妍的店,未知茬数,未知高度,0,无标签
新品上市,6.00,元/斤,临洮县,盛旺蔬菜批发,未知茬数,未知高度,0,无标签
蒜黄,80.00,元/箱,杞县,蔡记批发,未知茬数,未知高度,0,无标签
黄金韭 二茬 30~40公分,5.00,元/斤,普定县,陈权的店,二茬,30~40公分,0,无标签
有需要老板请联系,5.00,元/斤,绍兴,林玉娥的店,未知茬数,未知高度,0,无标签
韭菜，欢迎老板订购。,1.50,元/斤,绍兴,林玉娥的店,未知茬数,未知高度,0,无标签
,5.00,元/斤,绍兴,林玉娥的店,未知茬数,未知高度,0,无标签
九号 二茬 30~40公分,5.00,元/斤,普定县,陈权的店,二茬,30~40公分,0,无标签
查无信息,3.50,元/斤,绍兴,林玉娥的店,未知茬数,未知高度,0,无标签
